produto,descrição,modelo,cor,tamanho,quantidade,preço_unitário,valor_total

Camiseta Masculina,Camiseta básica de algodão, modelo slim fit,Azul Claro,M,2,49.90,99.80
Calça Jeans,Calça jeans com stretch, modelo skinny,Preto,42,1,129.90,129.90
Tênis Esportivo,Tênis de corrida, com amortecimento, preto,42,1,199.90,199.90
Camiseta Feminina,Camiseta básica de algodão, modelo slim fit,Branco,P,3,39.90,119.70
Jaqueta Couro,Jaqueta sintética, estilo biker,Preto,M,1,249.90,249.90
Vestido Casual,Vestido midi estampado, de viscose,Floral,M,2,89.90,179.80
Bermuda Masculina,Bermuda de sarja, modelo chino,Bege,44,1,79.90,79.90
Blusa Feminina,Blusa de manga longa, malha canelada,Vermelho,G,2,59.90,119.80
Sapato Social,Sapato masculino em couro, modelo clássico,Marrom,41,1,189.90,189.90
Shorts Feminino,Shorts jeans, cintura alta,Azul Médio,38,1,69.90,69.90
Moletom Unissex,Moletom, com capuz e bolso canguru,Cinza,M,1,119.90,119.90
